iter	Logloss
0	0.6521744905
1	0.6238803157
2	0.5906211712
3	0.5661940398
4	0.5445287493
5	0.5225423177
6	0.5023472397
7	0.4838243767
8	0.467757331
9	0.4526535317
10	0.436856835
11	0.4233901412
12	0.4065851282
13	0.3938759698
14	0.3831291552
15	0.3735397127
16	0.3652662701
17	0.3509626742
18	0.3427625939
19	0.332572937
20	0.3251649009
21	0.3195572606
22	0.3112517816
23	0.3047036065
24	0.2977809906
25	0.2893874557
26	0.2833492314
27	0.2780931084
28	0.2726148323
29	0.2675224234
30	0.2614061921
31	0.2568338712
32	0.2528935538
33	0.2481672852
34	0.2444966634
35	0.240902053
36	0.2372109978
37	0.2320563705
38	0.2288486693
39	0.2252616529
40	0.2226945736
41	0.219624643
42	0.2154310015
43	0.2121022012
44	0.2103108653
45	0.2062930001
46	0.2037136996
47	0.200952212
48	0.1982715748
49	0.1957308805
