iter	Passed	Remaining
0	146	7184
1	147	3551
2	149	2340
3	151	1737
4	152	1371
5	153	1126
6	154	951
7	156	822
8	158	720
9	159	636
10	160	568
11	161	512
12	163	464
13	164	423
14	165	386
15	166	352
16	167	324
17	168	299
18	169	277
19	171	256
20	172	238
21	174	221
22	175	206
23	176	191
24	177	177
25	179	165
26	181	154
27	182	143
28	183	133
29	186	124
30	187	115
31	189	106
32	190	98
33	192	90
34	193	83
35	195	75
36	196	68
37	198	62
38	199	56
39	200	50
40	202	44
41	203	38
42	205	33
43	206	28
44	207	23
45	209	18
46	211	13
47	212	8
48	213	4
49	214	0
